C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,Modello,08/05/2017 16:14:16,Gabriele,_AutoCAD PDF (General Documentation).pc3,ANSI A espanso (8.5 x 11 pollici),1:406.439,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A101,08/05/2017 16:14:19,Gabriele,_AutoCAD PDF (General Documentation).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A201,08/05/2017 16:14:24,Gabriele,_AutoCAD PDF (General Documentation).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A301,08/05/2017 16:14:29,Gabriele,_AutoCAD PDF (General Documentation).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A302,08/05/2017 16:14:34,Gabriele,_AutoCAD PDF (General Documentation).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A201,17/06/2017 17:55:53,Gabriele,AutoCAD PDF (High Quality Print).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A301,17/06/2017 17:56:15,Gabriele,AutoCAD PDF (High Quality Print).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A302,17/06/2017 17:56:26,Gabriele,AutoCAD PDF (High Quality Print).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A201,14/07/2017 17:21:53,Gabriele,AutoCAD PDF (High Quality Print).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A301,14/07/2017 17:22:04,Gabriele,AutoCAD PDF (High Quality Print).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A302,14/07/2017 17:22:16,Gabriele,AutoCAD PDF (High Quality Print).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A301,14/07/2017 19:37:13,Gabriele,AutoCAD PDF (High Quality Print).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
C:\Users\Gabriele\Documents\GitHub\QM-S_2\QM-S_2.dwg,A302,14/07/2017 19:37:33,Gabriele,AutoCAD PDF (High Quality Print).pc3,ISO pagina intera A2 (594 x 420 mm),1:1,
